AcctCode,AcctName,FatherNum,Postable,GroupMask,JDT1Refs
100000000000000,Asset,,N,1,0
200000000000000,Liability,,N,2,0
300000000000000,Equity,,N,3,0
400000000000000,Revenue,,N,4,0
500000000000000,Expenditure,,N,5,0
600000000000000,#6,,N,6,0
700000000000000,#7,,N,7,0
800000000000000,#8,,N,8,0
900000000000000,#9,,N,9,0
A00000000000000,#10,,N,10,0
1103207,ICICI PRUDENTIAL INDIA OPPORTUNITIES FUND,1103200,Y,1,1
1103208,NIPPON INDIA LARGE CAP FUND,1103200,Y,1,1
1103209,NIPPON INDIA MIDCAP FUND,1103200,Y,1,1
1103210,ADITYA BIRLA SUNLIFE FLEXICAP FUND,1103200,Y,1,1
