CardCode,CardName,CardType,GroupCode,FrozenFor,HeaderRefs
V01137,,S,115,,0
V01411,DELHIVERY LIMITED,S,115,,1
V00679,R R MARKETING,S,115,,8
C00851,SENTHIL ANDAVAR ENTERPRISES,C,103,,3
V01409,PRAVIN RUBBER CO,S,115,,1
V01408,PANDURANGAN INDUSTRIAL,S,115,,0
C00850,PANDURANGAN INDUSTRIAL,C,103,,0
V01164,,S,119,,0
V01250,MILAN PRODUCTS LLP,S,114,,87
V01273,,S,115,,0
V01274,,S,115,,0
V01275,,S,115,,0
C00584,,C,103,,0
V00058,JAY JAGANNATH MANPOWER SUPPLIER,S,114,,0
V01325,GLASSIO PRIVATE LIMITED,S,114,,15
C00852,TN POLICE MASTER CANTEEN PUDUPET (EGMORE)- VEERAPURAM,C,103,,1
V01410,SUNDER STEELS,S,111,,1
V01367,,S,115,,0
V01381,M.D.ENGINEERING WORKS,S,115,,0
V01396,SHIV OFFICE MART,S,115,,3
C00853,THE AKSHAYAPATRA FOUNDATION - Chikkajala,C,103,,1
V01011,WAGTAIL TECHNOLOGIES INDIA PVT LTD,S,114,,156
