DimensionField,Code,JDT1Refs
OcrCode2,ADMIN,8335
OcrCode2,BD,5583
OcrCode2,CANTEEN,2778
OcrCode2,FIN,6311
OcrCode2,GENERAL,453
OcrCode2,HR,1763
OcrCode2,ICF,744
OcrCode2,IT,1833
OcrCode2,PRD,182296
OcrCode2,QA,510
OcrCode2,R&D,5752
OcrCode2,RETAIL,2960
OcrCode2,S&M,107790
OcrCode2,STORES,25312
OcrCode3,ACV4,95
OcrCode3,ACV4A,317
OcrCode3,ACV5,472
OcrCode3,ACV7,16
OcrCode3,AUTM,5
OcrCode3,CCV1,75
OcrCode3,CSV1,340
OcrCode3,D204,132
OcrCode3,DCV1,95
OcrCode3,DMV1,283
OcrCode3,NONE,347902
OcrCode3,SMV1,104
OcrCode3,TMV1,18
OcrCode3,VMV1,17
