ItemCode,ItemName,ItmsGrpCod,InvntItem,SellItem,PrchseItem,LineRefs
14000008,CONSUMABLES,116,N,Y,Y,671
12000924,PRIME IDLY COOKER 6 PLATE BTM BEEDING,114,Y,Y,Y,15
18000289,Bhima Triply Cookpot 16 cm Only Lid,121,Y,Y,Y,0
12000974,MASALA DABBA NO 1 WITH SS LID,114,Y,Y,Y,0
12001568,LIFE LONG MOMO MAKER  SPOT WELDING,114,Y,Y,Y,15
15000643,PATTI HUNDI 590*310*325,117,Y,Y,Y,0
12000549,IDLY COOKER 4 PLATE BOTTOM REGULAR - POLISHED-DACE,114,Y,Y,Y,252
12000978,Judge Laddle Large POLISHED-TTK,114,Y,Y,Y,12
12000364,LUNCH BOX-RUBY SEMI PACKED,114,Y,Y,Y,5
50000001,WHIRLPOOL DIRECT COOL 184 LTRS 205 IMPC PRM 2S 2S TITAN STEEL,112,N,Y,Y,1
50000002,HAIER WATER DISPENSER TABLE TOP 3.20 LTRS HWD 3WTT WHITE,112,N,Y,Y,1
50000003,GODREJ NX PRO DIGITAL (15L) EBONY HOME LOCKER,112,N,Y,Y,1
12000869,Judge Slotted Turner M polished-TTK,114,Y,Y,Y,42
12001136,VB DACE-TRIPLY TOPE LID POLISHED 24CM 13,114,Y,Y,Y,0
50000004,HP ELITE BOOK 840g6 INTEL LAPTOP I5 16gb ram,112,N,Y,Y,1
50000005,POTABLE PRESSURE BLASTING MACHINE,112,N,Y,Y,1
50000007,INDUCTION MELTING MACHINE WITH COOLING SYSTEM,112,N,Y,Y,1
10000866,TOPE,113,N,Y,Y,133
12000510,COFFEE DABARA SMALL - POLISHED LLM,114,Y,Y,Y,169
18000290,Bhima Triply Cookpot 18 cm Only Lid,121,Y,Y,Y,0
17000146,"19-1/4"" CIRCLE 0.40MM J5",115,Y,Y,Y,5
17000148,"18"" CIRCLE 0.40MM J5",115,Y,Y,Y,5
12001523,STEAMER TOP SPOT WELDING,114,Y,Y,Y,43
18000291,Bhima Triply Kadai 24 cm Only Lid,121,Y,Y,Y,0
12001292,SMALL CONTAINER BTM GROOVING,114,Y,Y,Y,35
18000292,Bhima Triply Kadai 20 cm Only Lid,121,Y,Y,Y,0
18000293,Bhima Triply Kadai 22 cm Only Lid,121,Y,Y,Y,0
18000294,Bhima Triply Kadai 24 cm Only Lid,121,Y,Y,Y,0
18000295,Bhima Triply Kadai 28 cm Only Lid,121,Y,Y,Y,0
17000147,"18-1/4"" CIRCLE 0.40MM J5",115,Y,Y,Y,5
18000296,Bhima Triply Kadai 30 cm Only Lid,121,Y,Y,Y,0
18000297,Bhima Triply Kadai 32 cm Only Lid,121,Y,Y,Y,0
18000298,Bhima Triply Saucepan 14 cm Only Lid,121,Y,Y,Y,0
18000299,Bhima Triply Saucepan 16 cm Only Lid,121,Y,Y,Y,0
18000300,Bhima Triply Saucepan 20 cm Only Lid,121,Y,Y,Y,0
12001370,TUMBLER 5.0 MINI - POLISHING,114,Y,Y,Y,0
18000301,Bhima Triply Saucepan 18 cm Only Lid,121,Y,Y,Y,0
18000302,Bhima Triply Tope 16 cm Only Lid,121,Y,Y,Y,0
18000303,Bhima Triply Tope 22 cm Only Lid,121,Y,Y,Y,0
18000304,Bhima Triply Tope 24 cm Only Lid,121,Y,Y,Y,0
18000305,Kadai Flat Bottom 22 cm Only Lid,121,Y,Y,Y,0
18000306,Kadai Flat Bottom 26 cm Only Lid,121,Y,Y,Y,0
18000307,Kadai Sandwich Bottom 24 cm Only Lid,121,Y,Y,Y,0
12001379,ANNAKAI NO 1 -BLANK CUTTING,114,Y,Y,Y,9
12001380,ANNAKAI NO 3 -BLANK CUTTING,114,Y,Y,Y,3
12001381,ANNAKAI NO 2 -BLANK CUTTING,114,Y,Y,Y,4
18000308,Sauce Pan Flat Bottom 18 cm Only Lid,121,Y,Y,Y,0
12001755,CLASSIC PLAIN TURNER NO.5 POLISHED,114,Y,Y,Y,1
17000149,"16-1/2"" CIRCLE 0.40MM J5",115,Y,Y,Y,5
12001518,STEAMER STAND,114,Y,Y,Y,44
18000309,Sauce Pan Flat Bottom 20 cm Only Lid,121,Y,Y,Y,0
12001400,RICE SERVER NO 1 -BLANK CUTTING,114,Y,Y,Y,14
12001402,S & I OF 2-SEATER COMPLETE STAINLESS STEEL (SINGLE) FOR EMU/3PH COACHES -SFG,114,Y,Y,Y,2
16000411,1 LOOSE MOP,102,Y,Y,Y,3
17000240,JSLU DD SLITTED COIL (0.5X280),115,Y,Y,Y,1
12000979,SEPARATER BIG(212X85MM) POLISH-TTK,114,Y,Y,Y,4
12001415,SAIL-ODYSSEY WATERJUG WITH LID,114,Y,Y,Y,2
10000643,BUCKET - 5 LTR,113,Y,Y,Y,9
50000186,"ALMONARD WALL MOUNT FAN 24""",112,N,Y,Y,2
17000150,"17-1/4"" CIRCLE 0.40MM J5",115,Y,Y,Y,5
12001434,TRIPLY SAUCEPAN 14 CM WITH GLASS LID- INNER MATT & OUTER MIRROR FINISH,114,Y,Y,Y,3
10000645,TUB STANDARD -32 LTR,113,Y,Y,Y,18
12001509,IDLY COOKER 4 PLATE BOTTOM REGULAR SPOT WELDING,114,Y,Y,Y,94
12000990,SEPERATOR LIFTER - TTK,114,Y,Y,Y,2
12001477,4 IDLY STAND,114,Y,Y,Y,179
12001582,IDLY PLATE - POLISHED - HOLE PUNCHED,114,Y,Y,Y,84
12001657,FLUFFY IDLY COOKER 4 PLATE BOTTOM SPOTWELDED,114,Y,Y,Y,31
12001586,STANDARD LADDLE NO 3 - POLISHED - DACE,114,Y,Y,Y,16
17000116,POLYCARBONATE MAKROLON 2407C901510,115,Y,Y,Y,5
12000356,LADDLE NO 3 - BLANK CUTTING,114,Y,Y,Y,37
12001668,FLUFFY IDLY 4 PLATE STAND,114,Y,Y,Y,30
50000167,PAYROLL & HRMS ADDON,112,N,Y,Y,2
12001496,"Kumcha no.12""(304 ) -circle",114,Y,Y,Y,3
12000537,COFFEE DABARA BIG - POLISHED - LLM,114,Y,Y,Y,93
50000168,POWER BI DASHBOARD,112,N,Y,Y,1
12001515,IDLY COOKER 4 PLATE BOTTOM REGULAR - POLISHED-LLM,114,Y,Y,Y,7
12001664,FLUFFY IDLY COOKER 6 PLATE BOTTOM SPOTWELDED,114,Y,Y,Y,34
12000361,IDLY COOKER 6 PLATE BOTTOM - POLISHED-TTK,114,Y,Y,Y,196
12001669,FLUFFY IDLY 6 PLATE STAND,114,Y,Y,Y,32
50000187,HAND PALLET TRUCK,112,N,Y,Y,1
10000018,BUTTERFLY - ELITE SERIES 2500 ML,113,Y,Y,Y,2
12000802,"ELITE THALI FLAT BEADING 9CIRCLE CUTTING -11 1/4""",114,Y,Y,Y,22
12001131,VB-DACE MULTI COOKER,114,Y,Y,Y,140
12000779,ELITE BIG LID HANDLE,114,Y,Y,Y,256
12001603,MASALA SPOON - BLANK CUTTING,114,Y,Y,Y,3
12000852,Judge Plain Turner L polished-TTK,114,Y,Y,Y,27
15000015,LUNCH BAG 2 LAYER SMALL -SALEM,117,Y,Y,Y,0
12000257,RICE SERVER - BLANK CUTTING LLM,114,Y,Y,Y,17
12001679,ELITE 3500ML OUTER BOTTOM - SPOT WELDED,114,Y,Y,Y,11
12001639,6 PLATE IDLY COOKER ROD,114,Y,Y,Y,0
15000008,LUNCH BAG 4 LAYER BIG -SALEM,117,Y,Y,Y,7
12001648,GRAND IDLY COOKER 4 PLAT BOTTOM SPOT WELDED,114,Y,Y,Y,0
15000379,DOUBLE DELIGHT 1.5 KGS MASTER CARTON BOX-OLD (24.5X12.25X23.25),117,Y,Y,Y,0
15000382,*,117,Y,Y,Y,1
15000406,ICE CREAM (BROWN) BOX,117,Y,Y,Y,0
12001563,JUDGE IDLY COOKER 4 PLATE BOTTOM SPOTWELDING,114,Y,Y,Y,76
12000593,ANNAKAI - BLANK CUTTING,114,Y,Y,Y,44
12000796,"ELITE THALI FLAT BEADING 10 CIRCLE CUTTING -12 1/8""",114,Y,Y,Y,59
15000644,POWER GRID 14 PCS SET PRINTED BOX(395X325X100),117,Y,Y,Y,7
12001471,JUDGE IDLY STAND 4 PLATE,114,Y,Y,Y,142
12001126,VB DACE - IDLY COOKER 3+1 (REGULAR WITH MINI),114,Y,Y,Y,68
10000672,WAVES BOWL 850 PET,113,Y,Y,Y,21
15000631,PRESTIGE STICKER-FLUPY,117,Y,Y,Y,58
15000049,LUNCH BAG 4 LAYER BIG -LLM,117,Y,Y,Y,0
15000050,LUNCH BAG 4 LAYER SMALL -LLM,117,Y,Y,Y,1
15000092,KADAI 26 CM MASTER CARTON BOX,117,Y,Y,Y,3
12001034,DACE-IDLY COOKER 3P LID - POLISHING,114,Y,Y,Y,119
12001650,VB DACE MULTI COOKER VEG STAINER SPOT WELDED,114,Y,Y,Y,0
12001649,VB DACE MULTI COOKER RICE STAINER SPOT WELDED,114,Y,Y,Y,0
50000172,TOYOTA INNOVA HYCROSS HYBRID ZX(7S),112,N,Y,Y,0
10000219,S & I OF 2-SEATER COMPLETE STAINLESS STEEL (SINGLE) FOR EMU/3PH COACHES,113,Y,Y,Y,12
12000714,PRIDE SAUCEPAN NO 2 BOTTOM - SPOT WELDING,114,Y,Y,Y,9
15000445,TOPE SET WITH PC MASTER CARTON BOX,117,Y,Y,Y,121
12001693,SAIL-LADDLE NO.1 BLANK,114,Y,Y,Y,11
12001484,HOTPACK -1500 ML BOTTOM RIVET,114,Y,Y,Y,3
12000772,ELITE SMALL LID HANDLE,114,Y,Y,Y,50
10000755,SL LUNCH BOX 700ML,113,Y,Y,Y,57
15000401,STICKER-SMALL,117,Y,Y,Y,0
15000664,27*27*28 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000665,28.5*28.5*27.5CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
12000063,LADDLE NO 2 - BLANK CUTTING,114,Y,Y,Y,60
12000851,Judge Pan Spoon  Medium Blank -TTK,114,Y,Y,Y,32
12001390,RICE SERVER NO 3 -BLANK CUTTING,114,Y,Y,Y,8
15000666,29*29*23 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000488,KK Series Satin Bag Big - Blue,117,Y,Y,Y,25
15000583,Symphony Plate Corrugated Box,117,Y,Y,Y,4
10000765,ELITE THALI FLAT BEADING PLATE 10-LLM,113,Y,Y,Y,50
15000584,Nuts Container - Corrugated Box,117,Y,Y,Y,4
12001389,RICE SERVER NO 2 -BLANK CUTTING,114,Y,Y,Y,10
15000667,18.5*10*15CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000668,25*19*21CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000669,35*24*11.5 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000670,36*24*23 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000671,8*8*21.5 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000672,23.5*15.5*16 CM MASTER CARTON BOX - SAL,117,Y,Y,Y,3
15000663,680*410*450 MM -MASTER CARTON BOX,117,Y,Y,Y,3
14000025,PURCHASE : PACKING MATERIALS,116,N,Y,Y,416
10000794,DACE SQRLUNCH BOX2RUBY 0.5MM26G 300MLBIS,113,Y,Y,Y,19
12001169,DACE-CIRCLE 12 1/2,114,Y,Y,Y,0
12000038,AKSHAYAPATHRA BIG BODY SHEET - SHEAR CUTTING,114,Y,Y,Y,66
50000156,ASUS DESKTOP,112,N,Y,Y,1
12001696,SAIL-RICE SERVER BLANK,114,Y,Y,Y,21
12000635,INSULATED VESSEL BIG OUTER BODY SHEET - SHEAR CUTTING,114,Y,Y,Y,114
10000724,Gas Lighter-Standard,113,Y,Y,Y,1
12001759,CLASSIC SLOTTED TURNER NO.6 POLISHED,114,Y,Y,Y,0
12001758,CLASSIC SLOTTED TURNER NO.6 UNPOLISHED,114,Y,Y,Y,5
12000861,Judge Skimmer Large Polished-TTK,114,Y,Y,Y,35
50000176,BIO METRIC,112,N,Y,Y,3
17000127,TRIPLY CIRCLE 560MM,115,Y,Y,Y,5
15000010,LUNCH BAG 3 LAYER BIG - DACE,117,Y,Y,Y,16
12000774,ELITE LID LOCK CLIP,114,Y,Y,Y,294
17000128,TRIPLY CIRCLE 530MM,115,Y,Y,Y,5
17000049,PATTA SHEET -0.4 MM 12'' (M5),115,Y,Y,Y,2
12000222,LUNCH BOX-CORAL SEMIPACKED,114,Y,Y,Y,9
12001566,LADDLE NO:4 POLISHED LLM,114,Y,Y,Y,30
15000492,LUNCH BAG 2 LAYER SMALL - DACE,117,Y,Y,Y,22
12001018,VB DACE MULTI COOKER BTM OPERATION,114,Y,Y,Y,41
12001051,VB DACE - MILKPAN BOTTOM (SMALL) - PRESSING,114,Y,Y,Y,26
12001645,SERVING BOWL BOTTOM SPOT WELDED,114,Y,Y,Y,0
12001062,VB DACE - MILKPAN BOTTOM (BIG) - PRESSING,114,Y,Y,Y,21
12001569,IDLY COOKER 6 PLATE BOTTOM REGULAR SPOT WELDING,114,Y,Y,Y,89
12001514,IDLY COOKER 6 PLATE BOTTOM - POLISHED-DACE,114,Y,Y,Y,35
12001108,VB DACE-TRIPLY TOPE LID POLISHED 14 CM 8,114,Y,Y,Y,64
12001119,VB DACE-TRIPLY TOPE LID POLISHED 16 CM 9,114,Y,Y,Y,61
12000596,TUMBLER 6.0 - POLISHED - LLM,114,Y,Y,Y,243
12001127,VB DACE-PUTTU KODAM,114,Y,Y,Y,95
12000866,Judge Slotted Turner L polished-TTK,114,Y,Y,Y,20
12001129,VB DACE-TRIPLY TOPE LID POLISHED 18 CM 10,114,Y,Y,Y,56
21000001,Circle Cutting,123,N,N,Y,0
12001132,VB DACE CASSEROLE BIG,114,Y,Y,Y,62
21000002,Unpolished,123,N,N,Y,0
12001133,VB DACE CASSEROLE SMALL,114,Y,Y,Y,60
21000003,Polished,123,N,N,Y,0
21000004,Packing,123,N,N,Y,0
21000005,Hole Punching,123,N,N,Y,0
21000006,Slitting & Cutting,123,N,N,Y,0
12001161,VB DACE MULTI COOKER RICE STRAINER OPERTION,114,Y,Y,Y,1
12001177,VB DACE-TRIPLY TOPE LID POLISHED 20 CM 10.5,114,Y,Y,Y,39
12000471,WATER FILTER 16 LTR D/C TOP BODY SHEET - SHEAR CUTTING,114,Y,Y,Y,34
12001214,VB-DACE TADKA PAN,114,Y,Y,Y,117
12001215,VB-DACE MULTI COOKER ACCOSORIES,114,Y,Y,Y,77
12001216,DACE-KADAI LARGE,114,Y,Y,Y,27
12001217,DACE-KADAI SMALL,114,Y,Y,Y,30
15000048,LUNCH BAG 3 LAYER SMALL -LLM,117,Y,Y,Y,10
12001230,VB DACE-TRIPLY TOPE LID POLISHED 22CM 11.25,114,Y,Y,Y,33
12001584,SAMBAR IDLY PLATE - POLISHED - HOLE PUNCHED,114,Y,Y,Y,26
12001236,VB DACE-TRIPLY TOPE LID POLISHED 24CM 12,114,Y,Y,Y,58
12001372,VAGARIYA LID -SHEAR CUTTING (1273MM X 2500MM),114,Y,Y,Y,11
12001405,CHAMBOR SMALL - CIRCLE CUTTING,114,Y,Y,Y,6
12000170,3 LAYER LUNCH BOX-BIG SEMIPACKED,114,Y,Y,Y,26
15000165,LUNCH BAG 3 LAYER BIG -LLM,117,Y,Y,Y,15
12000616,SEPARATER (160X52MM) POLISH-TTK,114,Y,Y,Y,5
12001406,CHAMBOR BIG - CIRCLE CUTTING,114,Y,Y,Y,4
50000173,BMW CAR  (TN-11 AE-3333),112,N,Y,Y,3
50000174,USED BMW - 320D - TN 06 K 7500,112,N,Y,Y,3
12001413,"DACE - CIRCLE 12"" -JSLDD-0.5MM",114,Y,Y,Y,4
12001435,DACE ARC CHAMBAR BIG CIRCLE CUTTING,114,Y,Y,Y,15
17000140,PATTA-0.5 MM-11.5 (M5),115,Y,Y,Y,15
12000563,WATER FILTER 16 LTR D/C BOTTOM BODY SHEET - SHEAR CUTTING,114,Y,Y,Y,34
12001473,COFFEE DABARA BIG - POLISHED - DACE,114,Y,Y,Y,46
12001606,VB DACE LITE IDLY COOKER SET WITH 4 PLATE,114,Y,Y,Y,17
12001607,VB DACE LITE MILK BOILER 1.0 LTR,114,Y,Y,Y,17
12001608,VB DACE LITE MILK BOILER 1.5 LTR,114,Y,Y,Y,16
12001403,S & I OF 3-SEATER COMPLETE STAINLESS STEEL(DOUBLE) FOR EMU/3PH COACHES -SFG,114,Y,Y,Y,4
12001609,VB DACE LITE ELITE SERIES 2500 ML,114,Y,Y,Y,8
12001610,VB DACE LITE ELITE SERIES 3500 ML,114,Y,Y,Y,8
12001611,VB DACE LITE COFFEE DABARA SMALL SET,114,Y,Y,Y,17
50000044,HP LASERJET PRO MFP126NW PRINTER,112,N,Y,Y,0
