Account,AcctName,PartyOrShortName,TransType,SourceKind,TransId,Line_ID,BaseRef,RefDate,DueDate,Debit,Credit,FCDebit,FCCredit,FCCurrency,OriginalSigned,OriginalFCSigned,ReconSignedToCutoff,ReconFCSignedToCutoff,OpenSignedAsOfCutoff,OpenFCSignedAsOfCutoff,SourceDocEntry,SourceDocNum,SourceCardCode,SourceCardName,SourceDocTotal,SourceCurrency,SourceExternalRef
1202101,DEBTORS (DOMESTIC),C00001,13,Sales Invoice,14838,0,252700001,2024-07-19T00:00:00,2024-08-18T00:00:00,50384.06,0.0,0.0,0.0,,50384.06,0.0,0.0,0.0,50384.06,0.0,8638,252700001,C00001,AMBROSIA HITECH,50384.06,INR,253301639
1202101,DEBTORS (DOMESTIC),C00001,13,Sales Invoice,32863,0,110033004,2024-12-09T00:00:00,2025-01-08T00:00:00,75040.0,0.0,0.0,0.0,,75040.0,0.0,0.0,0.0,75040.0,0.0,11463,110033004,C00001,AMBROSIA HITECH,75040.0,INR,DN
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,104534,0,263301732,2025-08-14T00:00:00,2025-08-14T00:00:00,1232262.0,0.0,0.0,0.0,,1232262.0,0.0,1224438.97,0.0,7823.03,0.0,18130,263301732,C00012,MADHA TRADERS,1232262.0,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,108357,0,263301852,2025-08-25T00:00:00,2025-08-25T00:00:00,313699.98,0.0,0.0,0.0,,313699.98,0.0,308434.0,0.0,5265.98,0.0,18465,263301852,C00012,MADHA TRADERS,313699.98,INR,TN04AE0418 - Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,109453,0,263301881,2025-08-28T00:00:00,2025-08-28T00:00:00,266521.34,0.0,0.0,0.0,,266521.34,0.0,262048.0,0.0,4473.34,0.0,18590,263301881,C00012,MADHA TRADERS,266521.34,INR,K
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,127454,0,263302512,2025-09-29T00:00:00,2025-09-29T00:00:00,996953.74,0.0,0.0,0.0,,996953.74,0.0,980223.0,0.0,16730.74,0.0,19826,263302512,C00012,MADHA TRADERS,996953.74,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,155527,0,263303261,2025-11-27T00:00:00,2025-11-27T00:00:00,1157114.28,0.0,0.0,0.0,,1157114.28,0.0,1137696.0,0.0,19418.28,0.0,21563,263303261,C00012,MADHA TRADERS,1157114.28,INR,Scrap sales
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,156479,0,263303303,2025-11-29T00:00:00,2025-11-29T00:00:00,317559.72,0.0,0.0,0.0,,317559.72,0.0,312230.64,0.0,5329.08,0.0,21677,263303303,C00012,MADHA TRADERS,317559.72,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,168533,0,263303626,2025-12-24T00:00:00,2025-12-24T00:00:00,336144.64,0.0,0.0,0.0,,336144.64,0.0,330503.65,0.0,5640.99,0.0,22421,263303626,C00012,MADHA TRADERS,336144.64,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,168538,0,263303627,2025-12-24T00:00:00,2025-12-24T00:00:00,196379.21,0.0,0.0,0.0,,196379.21,0.0,193083.71,0.0,3295.5,0.0,22422,263303627,C00012,MADHA TRADERS,196379.21,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,203569,0,263304819,2026-03-13T00:00:00,2026-03-13T00:00:00,1226440.41,0.0,0.0,0.0,,1226440.41,0.0,1205858.0,0.0,20582.41,0.0,24927,263304819,C00012,MADHA TRADERS,1226440.41,INR,SCRAP
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,204228,0,263304830,2026-03-14T00:00:00,2026-03-14T00:00:00,310084.29,0.0,0.0,0.0,,310084.29,0.0,304880.0,0.0,5204.29,0.0,24961,263304830,C00012,MADHA TRADERS,310084.29,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,205199,0,263304842,2026-03-17T00:00:00,2026-03-17T00:00:00,212151.15,0.0,0.0,0.0,,212151.15,0.0,208591.0,0.0,3560.15,0.0,25005,263304842,C00012,MADHA TRADERS,212151.15,INR,Scrap
1202101,DEBTORS (DOMESTIC),C00012,13,Sales Invoice,206602,0,263304867,2026-03-20T00:00:00,2026-03-20T00:00:00,154920.78,0.0,0.0,0.0,,154920.78,0.0,146922.44,0.0,7998.34,0.0,25079,263304867,C00012,MADHA TRADERS,154920.78,INR,SCRAP
