ItemCode,Warehouse,InventoryAccount,InventoryAccountName,Qty,StockValue,ValuationRate,MovementRows
10000001,KLR-SER,,,1.0,0.0,0.0,1
10000003,KLR-SER,,,1.0,0.0,0.0,1
10000017,KLR-FG,,,2.0,0.0,0.0,3
10000018,KLR-FG,,,32.0,0.0,0.0,2
10000019,KLR-FG,,,43.0,0.0,0.0,2
10000020,KLR-FG,,,44.0,0.0,0.0,2
10000020,KLR-SER,,,1.0,0.0,0.0,1
10000043,KLR-FG,,,23.0,0.0,0.0,1
10000052,KLR-SER,,,5.0,0.0,0.0,1
10000053,KLR-SER,,,1.0,0.0,0.0,1
10000069,KLR-FG,,,204.0,0.0,0.0,1
10000095,KLR-SER,,,50.0,0.0,0.0,1
10000097,KLR-SER,,,1.0,0.0,0.0,1
10000098,KLR-SER,,,1.0,0.0,0.0,1
10000099,KLR-SER,,,1.0,0.0,0.0,1
10000101,KLR-FG,,,66.0,0.0,0.0,1
10000103,KLR-FG,,,1.0,0.0,0.0,2
10000105,KLR-FG,,,1.0,0.0,0.0,1
10000118,KLR-FG,,,4.0,0.0,0.0,1
10000144,KLR-SER,,,1.0,0.0,0.0,1
10000148,KLR-FG,,,38.0,0.0,0.0,1
10000149,KLR-EXS,,,406.0,0.0,0.0,1
10000150,KLR-EXS,,,410.0,0.0,0.0,1
10000161,KLR-SER,,,88.0,0.0,0.0,1
10000162,KLR-SER,,,138.0,0.0,0.0,1
10000163,KLR-SER,,,61.0,0.0,0.0,1
10000164,KLR-SER,,,61.0,0.0,0.0,1
10000165,KLR-SER,,,100.0,0.0,0.0,1
10000171,KLR-SER,,,26.0,0.0,0.0,1
10000184,KLR-SER,,,1.0,0.0,0.0,1
10000198,KLR-FG,,,83.0,0.0,0.0,1
10000198,KLR-SER,,,43.0,0.0,0.0,1
10000200,KLR-GEN,,,28.0,0.0,0.0,2
10000217,KLR-SER,,,100.0,0.0,0.0,1
10000221,KLR-FG,,,1.0,0.0,0.0,2
10000223,KLR-SER,,,13.0,0.0,0.0,3
10000224,KLR-SER,,,36.0,0.0,0.0,1
10000241,KLR-SER,,,1.0,0.0,0.0,1
10000242,KLR-SER,,,1.0,0.0,0.0,1
10000270,KLR-SER,,,290.0,0.0,0.0,1
10000272,KLR-SER,,,13.0,0.0,0.0,1
10000279,KLR-SER,,,9.0,0.0,0.0,2
10000288,KLR-SER,,,4.0,0.0,0.0,1
10000289,KLR-SER,,,4.0,0.0,0.0,1
10000301,KLR-SER,,,2.0,0.0,0.0,2
10000302,KLR-SER,,,7.0,0.0,0.0,6
10000305,KLR-SER,,,7.0,0.0,0.0,6
10000306,KLR-EXS,,,16.0,0.0,0.0,1
10000308,KLR-EXS,,,72.0,0.0,0.0,1
10000328,KLR-SER,,,2.0,0.0,0.0,1
10000329,KLR-SER,,,4.0,0.0,0.0,1
10000331,KLR-SER,,,10.0,0.0,0.0,2
10000336,KLR-SER,,,1.0,0.0,0.0,1
10000337,KLR-SER,,,2.0,0.0,0.0,1
10000340,KLR-SER,,,8.0,0.0,0.0,1
10000341,KLR-SER,,,1.0,0.0,0.0,1
10000344,KLR-SER,,,3.0,0.0,0.0,2
10000349,KLR-SER,,,4.0,0.0,0.0,2
10000351,KLR-SER,,,6.0,0.0,0.0,4
10000354,KLR-SER,,,1.0,0.0,0.0,3
10000356,KLR-SER,,,6.0,0.0,0.0,3
10000372,KER-FG,,,11.0,0.0,0.0,1
10000374,KLR-SER,,,1.0,0.0,0.0,1
10000379,KLR-SER,,,8.0,0.0,0.0,3
10000384,KLR-SER,,,10.0,0.0,0.0,3
10000393,KLR-SER,,,3.0,0.0,0.0,1
10000398,KER-FG,,,20.0,0.0,0.0,1
10000399,KLR-SER,,,1.0,0.0,0.0,1
10000400,KLR-SER,,,1.0,0.0,0.0,3
10000407,KLR-SER,,,1.0,0.0,0.0,1
10000437,KER-FG,,,50.0,0.0,0.0,1
10000439,KER-FG,,,40.0,0.0,0.0,1
10000440,KER-FG,,,37.0,0.0,0.0,1
10000443,KER-FG,,,50.0,0.0,0.0,1
10000444,KER-FG,,,7.0,0.0,0.0,1
10000445,KER-FG,,,54.0,0.0,0.0,1
10000446,KER-FG,,,52.0,0.0,0.0,1
10000458,KER-FG,,,3.0,0.0,0.0,1
10000458,KLR-SER,,,9.0,0.0,0.0,3
10000464,KLR-SER,,,4.0,0.0,0.0,1
10000467,KLR-SER,,,18.0,0.0,0.0,2
10000469,KLR-SER,,,4.0,0.0,0.0,2
10000470,KLR-SER,,,1.0,0.0,0.0,1
10000472,KLR-SER,,,1.0,0.0,0.0,3
10000478,KLR-SER,,,1.0,0.0,0.0,1
10000483,KLR-SER,,,10.0,0.0,0.0,3
10000488,KLR-SER,,,13.0,0.0,0.0,3
10000489,KLR-SER,,,7.0,0.0,0.0,3
10000490,KLR-SER,,,1.0,0.0,0.0,1
10000491,KLR-SER,,,5.0,0.0,0.0,3
10000492,KLR-SER,,,1.0,0.0,0.0,1
10000501,KLR-SER,,,2.0,0.0,0.0,3
10000504,KLR-SER,,,17.0,0.0,0.0,1
10000507,KLR-SER,,,18.0,0.0,0.0,2
10000531,KER-SR,,,1.0,0.0,0.0,1
10000538,KER-SR,,,1.0,0.0,0.0,1
10000543,KER-SR,,,2.0,0.0,0.0,2
10000697,KLR-SER,,,91.0,0.0,0.0,3
10000698,KER-FG,,,8.0,0.0,0.0,1
10000698,VIJW-FG,,,12.0,0.0,0.0,1
10000708,KLR-FG,,,2571.0,0.0,0.0,1
10000724,KLR-FG,,,261.0,0.0,0.0,1
10000802,KLR-FG,,,6.0,0.0,0.0,1
10000804,KLR-FG,,,2.0,0.0,0.0,1
10000808,KER-SR,,,1.0,0.0,0.0,1
11000002,BAN-FG,,,24.0,0.0,0.0,1
11000002,KER-SR,,,6.0,0.0,0.0,1
11000003,BAN-FG,,,32.0,0.0,0.0,1
11000003,KER-SR,,,2.0,0.0,0.0,1
11000003,VIJW-FG,,,8.0,0.0,0.0,1
11000004,BAN-FG,,,32.0,0.0,0.0,1
11000004,KER-FG,,,5.0,0.0,0.0,2
11000004,VIJW-FG,,,48.0,0.0,0.0,1
11000005,KLR-FG,,,8.0,0.0,0.0,1
11000012,KLR-FG,,,16.0,0.0,0.0,1
11000014,KLR-FG,,,35.0,0.0,0.0,1
